DATE,ACMTP10
1985-03-29,4.4307256495
1985-04-30,4.5858085411
1985-05-31,3.9390572145
1985-06-28,4.0387579064
1985-07-31,4.2161139921
1985-08-30,3.9871257302
1985-09-30,4.1611670821
1985-10-31,3.9510221491
1985-11-29,3.7345464217
1985-12-31,3.3278910073
1986-01-31,3.484849961
1986-02-28,2.2863286686
1986-03-31,1.8646739425
1986-04-30,1.9893273323
1986-05-30,2.481831057
1986-06-30,2.1844263019
1986-07-31,2.5795358969
1986-08-29,2.5633559674
1986-09-30,2.8988029541
1986-10-31,2.8425456066
1986-11-28,2.7059941006
1986-12-31,2.5932460271
1987-01-30,2.5457363392
1987-02-27,2.4212066765
1987-03-31,2.5684438882
1987-04-30,2.935392637
1987-05-29,2.8994231268
1987-06-30,2.9139856998
1987-07-31,3.1807987667
1987-08-31,3.2616487964
1987-09-30,3.5504200667
1987-10-30,3.2645791618
1987-11-30,3.3996905932
1987-12-31,3.3907633176
1988-01-29,3.2259258623
1988-02-29,3.1855445331
1988-03-31,3.4697209726
1988-04-29,3.6535842614
1988-05-31,3.5511399116
1988-06-30,3.2247668036
1988-07-29,3.4634404555
1988-08-31,3.0851422125
1988-09-30,2.7884788188
1988-10-31,2.7535686484
1988-11-30,2.5958620596
1988-12-30,2.2696594946
1989-01-31,2.0347397561
1989-02-28,2.121594918
1989-03-31,1.8503746032
1989-04-28,2.1030018799
1989-05-31,1.8091575866
1989-06-30,1.8250007394
1989-07-31,1.8827657249
1989-08-31,1.7845016969
1989-09-29,1.7508784318
1989-10-31,1.7192734364
1989-11-30,1.6655325504
1989-12-29,1.7441306032
1990-01-31,1.9807373452
1990-02-28,2.0606961155
1990-03-30,2.0217966216
1990-04-30,2.2668051911
1990-05-31,2.0697268301
1990-06-29,2.1009622159
1990-07-31,2.3098027582
1990-08-31,2.8643311781
1990-09-28,2.9253186365
1990-10-31,2.8838831064
1990-11-30,2.5443022353
1990-12-31,2.728733871
1991-01-31,2.7566557651
1991-02-28,2.7476281593
1991-03-28,2.7370802659
1991-04-30,2.9187029813
1991-05-31,3.0483638688
1991-06-28,3.1373782643
1991-07-31,3.0445518093
1991-08-30,3.1644692919
1991-09-30,2.9772615195
1991-10-31,3.3635629864
1991-11-29,3.5973305066
1991-12-31,3.2154506716
1992-01-31,3.5565878813
1992-02-28,3.3724399678
1992-03-31,3.1678430773
1992-04-30,3.4961217535
1992-05-29,3.4625710214
1992-06-30,3.771215075
1992-07-31,3.5724445564
1992-08-31,3.9001470018
1992-09-30,3.9727202371
1992-10-30,3.5511337898
1992-11-30,3.2809800794
1992-12-30,3.2001577175
1993-01-29,3.2584460328
1993-02-26,3.1049092387
1993-03-31,3.135316644
1993-04-29,3.1521791885
1993-05-28,2.8881395071
1993-06-30,2.5694779794
1993-07-30,2.4221458593
1993-08-31,2.2363053365
1993-09-30,2.1288175733
1993-10-29,2.1020800989
1993-11-30,2.3578170102
1993-12-31,2.3681242146
1994-01-31,2.2092673528
1994-02-28,2.4760986864
1994-03-31,2.6951828489
1994-04-29,2.5901352748
1994-05-31,2.5634707894
1994-06-30,2.7667923525
1994-07-29,2.5019693678
1994-08-31,2.436621667
1994-09-30,2.5785765229
1994-10-31,2.605324937
1994-11-30,2.2070795947
1994-12-30,1.9612828477
1995-01-31,1.9080271395
1995-02-28,1.9373964607
1995-03-31,1.9097198497
1995-04-28,1.8011043961
1995-05-31,1.5156551282
1995-06-30,1.4378426419
1995-07-31,1.6299145839
1995-08-31,1.4747907816
1995-09-29,1.3070489084
1995-10-31,1.2539278662
1995-11-30,1.1677298386
1995-12-29,1.0699210384
1996-01-31,1.2918653003
1996-02-29,1.655862044
1996-03-29,1.6972891585
1996-04-30,1.8278503132
1996-05-31,1.8365296131
1996-06-28,1.7515926515
1996-07-31,1.7151378808
1996-08-30,1.9324178499
1996-09-30,1.7879161873
1996-10-31,1.5552845391
1996-11-29,1.3149653588
1996-12-31,1.4706581036
1997-01-31,1.5747712275
1997-02-28,1.5361007261
